2023-09-12-03-39: 
2023-09-12-03-39: epoch: 63 |lr: [0.004964636514305911] |train/supervised_loss: 0.00038718|train/bone_loss: 0.00576186|train/total_loss: 0.00614905|
2023-09-12-03-39: epoch: 64 |lr: [0.0049632944592995654] |train/supervised_loss: 0.00038587|train/bone_loss: 0.00574802|train/total_loss: 0.00613389|
2023-09-12-03-39: epoch: 65 |lr: [0.004961927598946491] |train/supervised_loss: 0.00038465|train/bone_loss: 0.00574536|train/total_loss: 0.00613001|
2023-09-12-03-39: epoch: 66 |lr: [0.004960535947010954] |train/supervised_loss: 0.00037906|train/bone_loss: 0.00577764|train/total_loss: 0.0061567|
2023-09-12-03-39: epoch: 67 |lr: [0.004959119517506879] |train/supervised_loss: 0.00037713|train/bone_loss: 0.00575569|train/total_loss: 0.00613281|
2023-09-12-03-39: epoch: 68 |lr: [0.004957678324697686] |train/supervised_loss: 0.00037407|train/bone_loss: 0.00575569|train/total_loss: 0.00612976|
2023-09-12-03-39: epoch: 69 |lr: [0.004956212383096179] |train/supervised_loss: 0.00037411|train/bone_loss: 0.00575559|train/total_loss: 0.0061297|
2023-09-12-03-39: epoch: 70 |lr: [0.004954721707464366] |train/supervised_loss: 0.00037075|train/bone_loss: 0.00574253|train/total_loss: 0.00611328|
2023-09-12-03-39: epoch: 71 |lr: [0.004953206312813342] |train/supervised_loss: 0.00036919|train/bone_loss: 0.00575437|train/total_loss: 0.00612357|
2023-09-12-03-39: epoch: 72 |lr: [0.004951666214403109] |train/supervised_loss: 0.0003676|train/bone_loss: 0.00575631|train/total_loss: 0.00612391|
2023-09-12-03-39: epoch: 73 |lr: [0.0049501014277424414] |train/supervised_loss: 0.00036427|train/bone_loss: 0.00576406|train/total_loss: 0.00612833|
2023-09-12-03-39: epoch: 74 |lr: [0.004948511968588725] |train/supervised_loss: 0.00036311|train/bone_loss: 0.00575379|train/total_loss: 0.0061169|
2023-09-12-03-39: epoch: 75 |lr: [0.004946897852947796] |train/supervised_loss: 0.00035883|train/bone_loss: 0.00575086|train/total_loss: 0.00610969|
2023-09-12-03-39: epoch: 76 |lr: [0.004945259097073779] |train/supervised_loss: 0.00035725|train/bone_loss: 0.00576175|train/total_loss: 0.006119|
2023-09-12-03-39: epoch: 77 |lr: [0.004943595717468928] |train/supervised_loss: 0.00035814|train/bone_loss: 0.00575201|train/total_loss: 0.00611015|
2023-09-12-03-39: epoch: 78 |lr: [0.0049419077308834585] |train/supervised_loss: 0.00035581|train/bone_loss: 0.00575382|train/total_loss: 0.00610963|
2023-09-12-03-39: epoch: 79 |lr: [0.004940195154315376] |train/supervised_loss: 0.00035132|train/bone_loss: 0.0057503|train/total_loss: 0.00610162|
2023-09-12-03-39: epoch: 80 |lr: [0.004938458005010309] |train/supervised_loss: 0.00035085|train/bone_loss: 0.00575493|train/total_loss: 0.00610578|
2023-09-12-03-39: epoch: 81 |lr: [0.004936696300461325] |train/supervised_loss: 0.00034793|train/bone_loss: 0.00575661|train/total_loss: 0.00610454|
2023-09-12-03-39: epoch: 82 |lr: [0.004934910058408778] |train/supervised_loss: 0.00034755|train/bone_loss: 0.00576123|train/total_loss: 0.00610878|
2023-09-12-03-39: epoch: 83 |lr: [0.004933099296840102] |train/supervised_loss: 0.00034628|train/bone_loss: 0.00575511|train/total_loss: 0.00610139|
2023-09-12-03-39: epoch: 84 |lr: [0.0049312640339896465] |train/supervised_loss: 0.00034391|train/bone_loss: 0.00576439|train/total_loss: 0.0061083|
2023-09-12-03-39: epoch: 85 |lr: [0.004929404288338487] |train/supervised_loss: 0.00034157|train/bone_loss: 0.00575175|train/total_loss: 0.00609332|
2023-09-12-03-39: epoch: 86 |lr: [0.004927520078614238] |train/supervised_loss: 0.00034051|train/bone_loss: 0.0057357|train/total_loss: 0.00607622|
2023-09-12-03-39: epoch: 87 |lr: [0.004925611423790878] |train/supervised_loss: 0.00034209|train/bone_loss: 0.0057544|train/total_loss: 0.00609649|
2023-09-12-03-39: epoch: 88 |lr: [0.004923678343088537] |train/supervised_loss: 0.00033806|train/bone_loss: 0.00575347|train/total_loss: 0.00609153|
